search URL:,https://patents.google.com/?q=%28patents+for+UAV+long-range+communication%252c+EM+shielding+techniques+for+drones%252c+robust+wireless+links+remote-controlled+aircraft%29&oq=patents+for+UAV+long-range+communication%252c+EM+shielding+techniques+for+drones%252c+robust+wireless+links+for+remote-controlled+aircraft
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
KR-102545334-B1,Decentralized cybersecurity privacy network for cloud communication and global e-commerce ,리스태트 리미티드,"이브겐 버준, 리차드 케이. 윌리엄스",2018-07-10,2019-07-10,2023-06-20,2023-06-20,https://patents.google.com/patent/KR102545334B1/en,https://patentimages.storage.googleapis.com/e4/bb/64/064a50ada454c5/112021026272196-pct00172.png
US-2016232121-A1,Hybrid networking application switch ,Silicom Ltd.,David Castiel,2015-02-08,2015-02-08,2016-08-11,,https://patents.google.com/patent/US20160232121A1/en,https://patentimages.storage.googleapis.com/e5/38/38/eda5e333b2fd53/US20160232121A1-20160811-D00000.png
US-10324640-B1,Storage system with consistent initiation of data replication across multiple distributed processing modules ,EMC IP Holding Company LLC,"Xiangping Chen, Svetlana Kronrod, David Meiri",2018-01-22,2018-01-22,2019-06-18,2019-06-18,https://patents.google.com/patent/US10324640B1/en,https://patentimages.storage.googleapis.com/a2/6d/67/2e021e543275bf/US10324640-20190618-D00000.png
US-11734937-B1,Creating text classification machine learning models ,"Amazon Technologies, Inc.","Yahor Pushkin, Sravan Babu Bodapati, Rishita Rajal Anubhai, Dimitrios Soulios, Yaser Al-Onaizan",2020-01-02,2020-01-02,2023-08-22,2023-08-22,https://patents.google.com/patent/US11734937B1/en,https://patentimages.storage.googleapis.com/df/9e/b4/128f7eabc5b8d5/US11734937-20230822-D00000.png
US-12367171-B1,Storage adapter device for communicating with network storage ,"Amazon Technologies, Inc.","Nafea BShara, Alexander Matushevsky, Georgy Machulsky, Leah Shalev, Saar Gross",2015-09-29,2022-02-07,2025-07-22,2025-07-22,https://patents.google.com/patent/US12367171B1/en,https://patentimages.storage.googleapis.com/US12367171B1/US12367171-20250722-D00000.png
EP-4214898-B1,Anomaly detection using an ensemble of detection models ,"Amazon Technologies, Inc.","Jasmeet Chhabra, Jan GASTHAUS, Douglas Allen Walter, Tim Januschowski, Harshad Vasant Kulkarni, Vikas Dharia, Rahul Tongia, Valentin Flunkert",2020-10-20,2021-10-20,2024-04-24,2024-04-24,https://patents.google.com/patent/EP4214898B1/en,https://patentimages.storage.googleapis.com/e8/62/80/3c7c1696e7c73b/imgf0001.png
US-10838648-B2,Distributed host copy migration in a cluster environment using changed block tracking ,EMC IP Holding Company LLC,"Shubham Sharma, Kurumurthy Gokam, Kundan Kumar",2018-12-12,2018-12-12,2020-11-17,2020-11-17,https://patents.google.com/patent/US10838648B2/en,https://patentimages.storage.googleapis.com/73/0b/3d/91584b69e20999/US10838648-20201117-D00000.png
US-2011260935-A1,Compact embedded antenna ,"Bortoin Robert S, Hao Xin, Andrey Berezin, Jayanth Kudva, Hualiang Zhang","Robert S. Bortoin, Hao Xin, Andrey Berezin, Jayanth Kudva, Hualiang Zhang",2009-10-08,2010-10-08,2011-10-27,,https://patents.google.com/patent/US20110260935A1/en,https://patentimages.storage.googleapis.com/c5/ce/38/766fc979c53e18/US20110260935A1-20111027-D00000.png
CN-111854532-A,Stealth bulletproof material and preparation method and application thereof ,东莞天卫电磁技术有限公司,"黄瀛, 王毅",2019-04-28,2019-04-28,2020-10-30,,https://patents.google.com/patent/CN111854532A/en,https://patentimages.storage.googleapis.com/31/24/c5/0f08f60b23cf1b/HDA0002044174650000011.png
CN-116365249-A,"A lightweight, low-thick, durable and reliable multi-band radar stealth and bulletproof integrated metamaterial ","中北大学, 山西中北新材料科技有限公司","刘亚青, 韩冠宇, 武朝阳, 陈启晖, 苏晓岗",2023-04-06,2023-04-06,2023-06-30,,https://patents.google.com/patent/CN116365249A/en,https://patentimages.storage.googleapis.com/f1/49/41/f243a46fa76272/FT_1.png
JP-5627636-B2,Mechanical metamaterial ,"エスアールアイ インターナショナルＳＲＩ Ｉｎｔｅｒｎａｔｉｏｎａｌ, エスアールアイ  インターナショナル","コーンブルー・ロイ・ディ．, ペルライン・ロナルド・イー．, プララッド・ハーシャ, スタンフォード・スコット・イー．",2004-03-12,2012-05-01,2014-11-19,2014-11-19,https://patents.google.com/patent/JP5627636B2/en,https://patentimages.storage.googleapis.com/a9/87/3b/0b7c1a5fc286c6/0005627636-2.png
US-11155031-B2,"5-axis continuous carbon fiber 3D printing and meta-materials, parts, structures, systems, and design methods thereby enabled ",Mantis Composites Inc.,"Michael R. Chapiro, Michael J. Delay, Ryan C. Dunn, David M. Zilar",2018-03-30,2019-03-29,2021-10-26,2021-10-26,https://patents.google.com/patent/US11155031B2/en,https://patentimages.storage.googleapis.com/00/3b/7a/bd8e88c6d1c57f/US11155031-20211026-D00000.png
US-11260586-B2,Multimaterial 3d-printing with functional fiber ,Massachusetts Institute Of Technology,"Yoel Fink, Gabriel Zi Jie Loke, Rodger Yuan",2016-11-18,2017-11-17,2022-03-01,2022-03-01,https://patents.google.com/patent/US11260586B2/en,https://patentimages.storage.googleapis.com/dd/a6/6b/deee4cde3596f9/US11260586-20220301-D00000.png
CN-114142054-B,Formation and modification of ceramic nanowires and their use in functional materials ,"新罗纳米技术有限公司, 乔治亚科研公司","盖尔普·禹沈, 詹姆斯·本森, 丹尼·雷, 奥格·博迪切夫斯基",2016-02-16,2017-01-03,2024-10-29,2024-10-29,https://patents.google.com/patent/CN114142054B/en,
ES-2924262-T3,radiation shielding ,Sargard Ltd,"James Noras, Rameez Asif, Richard Littlehales, Raed Abd-Alhameed",2017-05-23,2018-05-23,2022-10-05,2022-10-05,https://patents.google.com/patent/ES2924262T3/en,
US-10307871-B2,Device with dynamic optical states using fluids with different optical properties ,Zane Coleman,Zane Coleman,2011-11-16,2017-10-30,2019-06-04,2019-06-04,https://patents.google.com/patent/US10307871B2/en,https://patentimages.storage.googleapis.com/a2/30/ca/2bf784486fb0f1/US10307871-20190604-D00000.png
